cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
efficacy in tumor model,clinical_outcome,complete regression,clinical_outcome,induces,1,1,high,demonstrating its therapeutic potential.,35104102
fragments,sequence_structure,stability,quality_attribute,decreases,1,1,high,fragments... decrease stability and potency of the final product.,38518514
SCN,formulation_factor,particle formation,quality_attribute,destabilizes,1,1,high,the least particles formed in the presence of SCN,39954809
novel purification platform,formulation_factor,fragment removal,quality_attribute,promotes,1,1,medium,the proposed single step has been shown to deliver... removal of a range of mAb fragments.,38518514
multimodal chromatography,formulation_factor,fragment removal,quality_attribute,promotes,1,1,medium,a novel purification platform that uses multimodal chromatography and achieves complete removal of a range of mAb fragme,38518514
cell impurities,sequence_structure,removal,quality_attribute,promotes,1,1,medium,adequate removal of various host cell impurities such as host cell proteins (<10ppm) and host cell DNA (<5ppb) has been ,38518514
high molecular weight impurities,sequence_structure,removal,quality_attribute,promotes,1,1,medium,the platform was able to deliver adequate removal of high molecular weight impurities (<1 %).,38518514
thrombin cleavage,degradation_pathway,tumor growth,clinical_outcome,destabilizes,1,1,high,Preventing thrombin cleavage of full-length OPN (OPN-FL) improves outcomes in tumor models.,40782915
anti-OPN antibodies,sequence_structure,tumor suppression,clinical_outcome,stabilizes,1,1,high,Treatment with either antibody reduced B16 melanoma tumor growth in both models.,40782915
mA6,sequence_structure,thrombin cleavage,degradation_pathway,inhibits,1,1,high,Thrombin cleavage of both mouse and human OPN-FL was inhibited by mA6.,40782915
mA6,sequence_structure,pulmonary disease,clinical_outcome,decreases,1,1,high,Mice treated with either antibody had reduced B16 melanoma growth... resulting in fewer pulmonary metastases.,40782915
mC6R,sequence_structure,tumor growth,clinical_outcome,decreases,1,1,high,"Growth of CT26, a colon carcinoma cell line, was reduced by treatment with either antibody.",40782915
fragments,sequence_structure,potency,quality_attribute,decreases,1,1,high,fragments... decrease stability and potency of the final product.,38518514
HJ03,formulation_factor,BBB penetration,quality_attribute,increases,1,1,high,HJ03 crossed the blood-brain barrier more efficiently than TMZ.,41772145
HJ03,formulation_factor,bone marrow toxicity,clinical_outcome,decreases,1,1,high,exhibited lower levels of bone marrow toxicity.,41772145
polysorbate 80,formulation_factor,stabilising proteins,quality_attribute,stabilizes,1,1,high,"the role of the excipients polysorbate 80, sucrose, trehalose, and arginine on stabilising proteins.",31517287
excipient composition,formulation_factor,transition temperature,quality_attribute,modifies,1,1,medium,subtle changes in excipient composition had an effect on the transition temperatures.,31517287
high temperature,stress_condition,vibrational confinement,degradation_pathway,induces,1,1,medium,localised confinement of the protein/excipient matrix at high temperatures.,31517287
vibrational confinement,degradation_pathway,formulation stability,quality_attribute,correlates,1,1,medium,the potential significance of the vibrational confinement in the solid state on formulation stability.,31517287
excipient composition,formulation_factor,chemical degradation,degradation_pathway,modifies,1,1,medium,what role the excipients play in achieving such confinement.,31517287
VEGF-A inhibition,formulation_factor,expression,sequence_structure,increases,1,1,high,VEGF-A inhibition upregulated the expression of genes involved in lipid metabolism.,39624732
QA standardization issues,quality_attribute,QA-clinical outcome relations,clinical_outcome,requires,1,1,high,"there is no QA standardization for PHSS, because relations between QAs and clinical outcomes are mostly unknown.",41015157
VEGF-A inhibition,formulation_factor,apoptosis,quality_attribute,decreases,1,1,high,VEGF-A inhibition downregulated endothelial cell apoptosis in non-lesional psoriasis skin.,39624732
VEGF-A inhibition,formulation_factor,cellular stress,stress_condition,induces,1,1,medium,Early response to VEGF-A inhibition is associated with changes in lipid metabolism in non-lesional psoriasis skin and ce,39624732
recombinant products,formulation_factor,potency,quality_attribute,increases,1,1,medium,"to increase potency, stability and half-life.",25521966
monoclonal antibodies,sequence_structure,inhibition,degradation_pathway,induces,1,1,medium,"inhibition of anticoagulant pathway factors (activated protein C, antithrombin, tissue factor pathway inhibitor) by mono",25521966
variant factors,sequence_structure,inactivation resistance,quality_attribute,promotes,1,1,medium,"use of variant coagulation factors (factor Xa, factor Va) which are more resistant to inactivation.",25521966
mediated therapy,sequence_structure,effective treatment,clinical_outcome,induces,1,1,medium,antibody-mediated therapy including a humanized anti-factor IXa/X bispecific antibody mimicking factor VIII.,25521966
nonsense mutation suppression,sequence_structure,increased efficacy,clinical_outcome,induces,1,1,medium,nonsense mutation suppression.,25521966
chimeras,sequence_structure,induction of microparticles,clinical_outcome,induces,1,1,medium,induction of prothrombotic microparticles by P-selectin-immunoglobulin chimeras.,25521966
antifibrinolytics,formulation_factor,suppression of fibrinolysis,degradation_pathway,promotes,1,1,medium,suppression of fibrinolytic potential either by antifibrinolytics.,25521966
VEGF-A inhibition,formulation_factor,lipid metabolism,degradation_pathway,induces,1,1,high,Pathway enrichment analysis identified the activation of pathways involved in fatty acids and lipid biosynthesis and deg,39624732
industry standards confirmation,quality_attribute,QA consensus,quality_attribute,promotes,1,1,medium,a positive trend was observed that over time more and more studies confirm with industry standards.,41015157
multivalency,sequence_structure,affinity,quality_attribute,increases,1,1,high,"Multivalency is one of the hallmarks of antibodies, by which enormous gains in functional affinity.",9237094
multivalency,sequence_structure,in vivo activity,clinical_outcome,promotes,1,1,high,Improved in vivo targeting and more selective localization are another consequence of multivalency.,9237094
recombinant fragments,sequence_structure,stability,quality_attribute,increases,1,1,medium,"We foresee therapeutic advances from a modular, systematic approach to optimizing pharmacokinetics, stability and functi",9237094
linked fragments,sequence_structure,bispecific antibodies,sequence_structure,induces,1,1,medium,"For this purpose, chemically linked fragments, diabodies, scFv-scFv tandems and bispecific miniantibodies have been inve",9237094
high concentration,formulation_factor,reversible aggregates,degradation_pathway,induces,1,1,high,"formation of reversible aggregates consisting of self-assembled monomeric monoclonal antibody molecules, particularly at",39852274
membrane pretreatment,formulation_factor,flux decline,quality_attribute,decreases,1,1,high,pretreating the feed using a membrane adsorber in order to disrupt the reversible aggregates that are present.,39852274
reversible aggregates,degradation_pathway,flux decline,quality_attribute,destabilizes,1,1,high,flux decline during virus filtration can occur due to the formation of reversible aggregates.,39852274
HJ03,formulation_factor,increased levels,quality_attribute,increases,1,1,high,leading to intracellular accumulation of ROS and Fe along with increased MDA levels.,41772145
hydrophobic interaction membrane,formulation_factor,flux decline,quality_attribute,decreases,1,1,medium,pretreatment of the feed using a hydrophobic interaction membrane adsorber was the most effective in minimizing flux dec,39852274
MGMT overexpression,sequence_structure,treatment failure,clinical_outcome,destabilizes,1,1,high,Acquired chemoresistance to TMZ is the primary cause of treatment failure.,41772145
loss of function mutations,sequence_structure,treatment failure,clinical_outcome,destabilizes,1,1,high,Acquired chemoresistance to TMZ is the primary cause of treatment failure.,41772145
HJ03,formulation_factor,DNA damage,quality_attribute,induces,1,1,high,HJ03 exerted a dual synergistic attack effect by inducing DNA damage.,41772145
HJ03,formulation_factor,ferroptosis,degradation_pathway,induces,1,1,high,HJ03 exerted a dual synergistic attack effect by inducing ferroptosis.,41772145
HJ03,formulation_factor,apoptosis,degradation_pathway,induces,1,1,high,HJ03 caused U251 and T98G cells to undergo apoptosis.,41772145
HJ03,formulation_factor,p53 expression,sequence_structure,increases,1,1,high,HJ03 promoted extensive ferroptosis by upregulating p53.,41772145
HJ03,formulation_factor,SLC7A11 levels,sequence_structure,decreases,1,1,high,HJ03 promoted extensive ferroptosis by downregulating SLC7A11.,41772145
HJ03,formulation_factor,ROS accumulation,quality_attribute,induces,1,1,high,leading to intracellular accumulation of ROS and Fe.,41772145
solution pH,formulation_factor,effectiveness,formulation_factor,requires,1,1,medium,the effectiveness of ion exchange membrane adsorbers is much more dependent on solution pH.,39852274
characterization assays,quality_attribute,detection,quality_attribute,promotes,1,1,medium,characterization of affinity-enriched fractions using assays that are orthogonal and complimentary.,40023288
arginine salts,formulation_factor,colloidal stability,quality_attribute,destabilizes,1,1,high,the addition of salts reduces the antibody colloidal and thermal stability,31689429
ionic strength increase,formulation_factor,damaging effect,quality_attribute,destabilizes,1,1,high,the presence of glutamate ion in the arginine salt partially reduces the damaging effect of ionic strength increase,31689429
sucrose concentration,formulation_factor,unfolding temperature,quality_attribute,increases,1,1,high,the addition of 280 mM sucrose shifts the thermal protein unfolding to a higher temperature,31689429
arginine salts,formulation_factor,monomer yield,quality_attribute,decreases,1,1,high,arginine salts in the used concentration reduce the relative monomer yield after refolding from urea,31689429
sucrose,formulation_factor,refolding,quality_attribute,increases,1,1,high,sucrose has a favorable effect on antibody refolding,31689429
monomer loss,quality_attribute,aggregation,degradation_pathway,correlates,1,1,medium,the monomer loss during storage is related to protein aggregation and formation of subvisible particles,31689429
CSTD,formulation_factor,subvisible particles,quality_attribute,increases,1,1,high,6 CSTD sets showed a substantial increase in subvisible particles with a morphology consistent with silicone oil.,32771346
optimization of antibodies,sequence_structure,stability,quality_attribute,increases,1,1,medium,"optimization of antibodies, linkers, and cytotoxic payloads to improve selectivity, stability, and overall therapeutic s",41506117
high volumes,formulation_factor,protein concentration,quality_attribute,decreases,1,1,high,devices with high holdup volumes resulted in dilution of reconstituted drug product and protein concentrations below the,32771346
CSTD,formulation_factor,efficacy,clinical_outcome,destabilizes,1,1,medium,Given the complexities and potential implications for efficacy and patient safety.,32771346
biodegradable copolymers,formulation_factor,BiJ591 stability,quality_attribute,stabilizes,1,1,high,allowed maintenance of BiJ591 stability and functionality in the formed depot,29891487
BiJ591,sequence_structure,T cell activation,clinical_outcome,induces,1,1,high,"BiJ591 induced T-cell activation, prostate cancer-directed cell lysis, and tumor growth inhibition",29891487
TB1/DB4 formulation,formulation_factor,sustained release,quality_attribute,promotes,1,1,high,TB1/DB4 provided the most sustained release of BiJ591 for up to 21 days,29891487
BiJ591 formulation,formulation_factor,therapeutic activity,clinical_outcome,increases,1,1,high,showed significant therapeutic activity in both low and high PSMA-expressing tumors,29891487
poor stability,quality_attribute,developability,clinical_outcome,induces,1,1,high,must also be free from 'developability issues' such as poor stability or high levels of aggregation.,30765520
total CDR length,sequence_structure,poor developability,clinical_outcome,promotes,1,1,medium,five metrics thought to be implicated in poor developability: the total length of the complementarity-determining region,30765520
sugar-based excipients,formulation_factor,bioactivity,quality_attribute,increases,1,1,high,the efficacy of some sugar based excipients in protection of antibodies was studied.,24641877
CSTD,formulation_factor,dose recovery,quality_attribute,decreases,1,1,high,CSTD led to variable but consistently reduced recovery of dose from the product.,32771346
variant,sequence_structure,half-life,quality_attribute,increases,1,1,high,The 2C-ABD-2TMP fusion protein displayed a half-life of 17.6+/-2.9h.,41276554
variant,sequence_structure,HSA affinity,quality_attribute,increases,1,1,medium,2C-ABD-2TMP exhibited an apparent EC for HSA of 2.1+/-0.6nM.,41276554
variant,sequence_structure,cell proliferation,clinical_outcome,promotes,1,1,high,"In MO7e cells, 2C-ABD-2TMP promoted dose-dependent proliferation.",41276554
HuNb1-IgG4,sequence_structure,phagocytosis,clinical_outcome,promotes,1,1,high,HuNb1-IgG4 effectively enhanced macrophage-mediated phagocytosis of tumor cells in vitro.,31931812
HuNb1-IgG4,sequence_structure,anti-ovarian and anti-lymphoma activity,clinical_outcome,increases,1,1,high,showed potent anti-ovarian and anti-lymphoma activity in vivo.,31931812
HuNb1-IgG4,sequence_structure,agglutination,quality_attribute,prevents,1,1,high,HuNb1-IgG4 did not induce the agglutination of human red blood cells (RBCs) in vitro.,31931812
HuNb1-IgG4,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,exhibited high safety for hematopoietic system in cynomolgus monkey.,31931812
bispecific antibody,sequence_structure,binding to tumor cells,clinical_outcome,increases,1,1,high,showing more preference binding to tumor cells.,31931812
Fab glycosylation,sequence_structure,product quality,clinical_outcome,destabilizes,1,1,medium,"including Fab glycosylation, which were shown to be impactful to drug quality.",40023288
dual target bioassay,formulation_factor,potency,quality_attribute,increases,1,1,medium,This reporter bioassay is capable of measuring the potency of both antigen target arms in one assay.,33870864
dual target bioassay,formulation_factor,stability,quality_attribute,promotes,1,1,medium,"This dual target reporter bioassay demonstrates good performance characteristics suitable for lot release, stability tes",33870864
dual target bioassay,formulation_factor,quality attribute assessment,quality_attribute,promotes,1,1,medium,"This dual target reporter bioassay demonstrates good performance characteristics suitable for lot release, stability tes",33870864
CTLA-4 and PD-1 activity,clinical_outcome,synergistic effect,clinical_outcome,induces,1,1,medium,this assay can capture the synergistic effect of anti-CTLA-4 and anti-PD-1 activity of the BsAb.,33870864
dual target bioassay,formulation_factor,potential MOA,clinical_outcome,correlates,1,1,medium,this dual target bioassay could better reflect the potential MOA of BsAbs.,33870864
fragmentation,degradation_pathway,target affinity,quality_attribute,destabilizes,1,1,high,This interaction may be abrogated or influenced by antibody fragmentation.,40023288
post-translational modifications,sequence_structure,target affinity,quality_attribute,destabilizes,1,1,high,PTMs with reduced target affinity are considered impactful to drug quality.,40023288
post-translational modifications,sequence_structure,product quality,clinical_outcome,destabilizes,1,1,medium,PTMs with reduced target affinity are considered impactful to drug quality.,40023288
ligand affinity,sequence_structure,variants,sequence_structure,modifies,1,1,medium,This approach specifically targets variants based on ligand affinity.,40023288
bispecific antibody,sequence_structure,anti-lymphoma activity,clinical_outcome,increases,1,1,high,more potent anti-lymphoma activity compared to HuNb1-IgG4.,31931812
high concentration,formulation_factor,protein particle accumulation,degradation_pathway,induces,1,1,medium,Long-term stability data for a high concentration IgG1 monoclonal antibody formulation demonstrated an accumulation of p,20229596
storage conditions,stress_condition,overall distribution,quality_attribute,increases,1,1,medium,demonstrated an accumulation of protein particles in certain size categories with a concomitant increase in the overall ,20229596
MDI assay results,quality_attribute,sensitivity to particulates,quality_attribute,increases,1,1,medium,The MDI assay results showed improved sensitivity to detect subvisible particulates.,20229596
particulates,sequence_structure,long-term storage formation,degradation_pathway,induces,1,1,medium,have provided an enhanced understanding of protein particulate formation during long-term storage.,20229596
weight of particulates,quality_attribute,low particulates,quality_attribute,correlates,1,1,medium,indicating a low level of protein particulates by weight.,20229596
CRISPR/Cas9 engineering,sequence_structure,mAb production,clinical_outcome,induces,1,1,high,CRISPR/Cas9-mediated breakthrough in creating two novel genetically engineered mouse models.,41341583
optimized animals,sequence_structure,glycosylation-competent antibodies,sequence_structure,promotes,1,1,high,These genetically optimized animals demonstrated broad tissue capability for glycosylation-competent human antibodies.,41341583
glycosylation,sequence_structure,high affinity,quality_attribute,stabilizes,1,1,high,the highly glycosylated human antibodies derived from these genetic engineered mice exhibited high binding affinity to S,41341583
combination,formulation_factor,physical stability,quality_attribute,increases,1,1,high,the combination of excipients... improved the physical and chemical stability of both IgG1 and monoclonal antibody.,24641877
high affinity,quality_attribute,comprehensive protection,clinical_outcome,promotes,1,1,high,providing comprehensive protection against SEB intoxication.,41341583
recombinant mAbs,sequence_structure,potency,quality_attribute,increases,1,1,medium,"Monoclonal antibodies (mAbs) have been shown to be highly promising reagents...due to their specific targeting, potency,",41248814
optimal expression system,formulation_factor,structural integrity,quality_attribute,requires,1,1,medium,"the selection of an optimal expression system and antibody format must be guided by the intended application, balancing ",41248814
advances in host engineering,formulation_factor,antibody production,clinical_outcome,promotes,1,1,medium,"continued advances in host engineering, synthetic design, and AI-driven optimization are expected to streamline recombin",41248814
chemical modifications,sequence_structure,binding to target,clinical_outcome,destabilizes,1,1,high,Chemical modifications (attributes) in the binding regions of stressed therapeutic proteins may affect binding to target,33616001
HC D102 isomerization,sequence_structure,binding,clinical_outcome,decreases,1,1,high,heavy chain (HC) D102 isomerization and light chain (LC) N30 deamidation were four-fold higher in unbound fraction.,33616001
LC deamidation,sequence_structure,binding,clinical_outcome,decreases,1,1,high,heavy chain (HC) D102 isomerization and light chain (LC) N30 deamidation were four-fold higher in unbound fraction.,33616001
HC N55 deamidation,sequence_structure,binding,clinical_outcome,correlates,1,1,medium,"HC N55 deamidation and M107 oxidation were also abundant, they were not statistically different between unbound and boun",33616001
M107 oxidation,sequence_structure,binding,clinical_outcome,correlates,1,1,medium,"HC N55 deamidation and M107 oxidation were also abundant, they were not statistically different between unbound and boun",33616001
transgenic lines,sequence_structure,production stability,quality_attribute,stabilizes,1,1,high,The transgenic lines maintained this antibody production stability for >140 weeks.,41341583
drying process,stress_condition,antibody fragmentation,degradation_pathway,prevents,1,1,high,The SDS-PAGE analysis showed no fragmentation of antibodies after spray drying in all formulations.,24641877
sugar-based excipients,formulation_factor,ELISA attachment,quality_attribute,increases,1,1,high,maximum tendency of trastuzumab to attach to the ELISA antigen (86.46%+/-2.3),24641877
self-aggregation,degradation_pathway,stability,quality_attribute,destabilizes,1,1,high,"self-aggregation, particularly dimer formation, impacting their stability",40116864
PC-GE-IFI,formulation_factor,monomer purity,quality_attribute,increases,1,1,medium,supports accurate assessment of mAb dimerization and monomer purity,40116864
mechanical agitation,stress_condition,aggregation propensity,quality_attribute,promotes,1,1,medium,assessment of mAb dimerization and monomer purity under various stress conditions,40116864
freeze-thaw cycles,stress_condition,aggregation propensity,quality_attribute,promotes,1,1,medium,assessment of mAb dimerization and monomer purity under various stress conditions,40116864
LAMP2A,sequence_structure,lysosomal degradation,degradation_pathway,destabilizes,1,1,high,targeting LAMP2A inhibits lysosomal degradation of STING and TBK1.,40083918
LAMP2A loss,sequence_structure,CD8+ T cell activation,clinical_outcome,induces,1,1,medium,LAMP2A loss combined with PD-1 monoclonal antibodies significantly stimulated the activation of infiltrating CD8+ T cell,40083918
Dezamizumab samples,stress_condition,C1q binding,quality_attribute,correlates,1,1,medium,The relative potency from both methods showed a good correlation to Dezamizumab-SAP-dependent complement component 1q (C,34461096
diclofenac,formulation_factor,anti-tumor efficacy,clinical_outcome,promotes,1,1,medium,"diclofenac functioning as a LAMP2A inhibitor, enhances the anti-tumor efficacy of PD-1 monoclonal antibody.",40083918
LAMP2A,sequence_structure,IFNbeta production,quality_attribute,increases,1,1,medium,Downregulation of LAMP2A enhanced IFNbeta production.,40083918
LAMP2A,sequence_structure,cellular immune response,clinical_outcome,increases,1,1,medium,Downregulation of LAMP2A enhanced...cellular antiviral response.,40083918
oxidation,degradation_pathway,PTM sites,sequence_structure,induces,1,1,medium,"The fast LC-cIM-MS platform provided site-specific tracking of the oxidation, deamidation, and isomerization kinetics.",40748615
deamidation,degradation_pathway,PTM sites,sequence_structure,induces,1,1,medium,"The fast LC-cIM-MS platform provided site-specific tracking of the oxidation, deamidation, and isomerization kinetics.",40748615
isomerization,degradation_pathway,PTM sites,sequence_structure,induces,1,1,medium,"The fast LC-cIM-MS platform provided site-specific tracking of the oxidation, deamidation, and isomerization kinetics.",40748615
high-throughput mapping,formulation_factor,CQA assessment,quality_attribute,promotes,1,1,medium,The method offers an approach to assessing CQAs in high-throughput analysis applications.,40748615
fast LC-cIM-MS,formulation_factor,mAb development,clinical_outcome,promotes,1,1,medium,has the potential to accelerate mAb development and manufacturing.,40748615
optimal molar ratio,formulation_factor,maximal activation,quality_attribute,increases,1,1,high,The optimal molar ratio of Dezamizumab:SAP was 6:1 in order to obtain maximal complement activation.,34461096
LAMP2A loss,sequence_structure,tumor growth,clinical_outcome,inhibits,1,1,medium,LAMP2A loss combined with PD-1 monoclonal antibodies significantly stimulated...inhibiting tumor growth.,40083918
temperature extremes,stress_condition,aggregation,degradation_pathway,promotes,1,1,medium,causing aggregation to dominate over fragmentation at high and low T.,23873602
Fe complex,formulation_factor,long-term signal,quality_attribute,promotes,1,1,high,providing a long-term signal.,2678912
xanthine oxidase,sequence_structure,high sensitivity,quality_attribute,promotes,1,1,high,the high detection sensitivity.,2678912
luminescence reagent,formulation_factor,long-term stability,quality_attribute,stabilizes,1,1,high,the long-term stability of the luminescence reagent.,2678912
anti-TSH mAb,sequence_structure,conjugate stability,quality_attribute,stabilizes,1,1,high,the stability of the conjugates.,2678912
single chain,sequence_structure,release rate,degradation_pathway,destabilizes,1,1,high,"the single chain configuration did not promote enhanced half-life, it reduced the rate of release of FVIII from VWF requ",25415306
delayed release,degradation_pathway,specific activity reduction,quality_attribute,induces,1,1,high,the apparent reduction in specific activity in the aPTT assay appears to be primarily due to delayed release of FVIII fr,25415306
rFVIIIFc,sequence_structure,profiles,clinical_outcome,correlates,1,1,medium,the results demonstrated similar pharmacokinetic profiles and comparable efficacy for SC rFVIIIFc and rFVIIIFc.,25415306
artemether,formulation_factor,PD-L1 surface expression,quality_attribute,induces,1,1,high,ART emerged as a robust inducer of PD-L1 surface expression in multiple murine and human TNBC cell lines.,41506550
formulation,formulation_factor,immunogenicity,clinical_outcome,increases,1,1,high,the immunological impact of various adjuvanted formulations of the 155 antigen was investigated in mice,39903060
antigen,sequence_structure,antigen binding,quality_attribute,modifies,1,1,medium,A competitive ELISA was developed to assess antigen binding to a PfCSP-specific mAb.,39903060
storage conditions,stress_condition,antigenicity,quality_attribute,decreases,1,1,medium,antigenicity of the 155 antigen was measured upon formulation with adjuvants...after storage at different temperatures o,39903060
Jetted A50,formulation_factor,aggregation stability,quality_attribute,increases,1,1,high,this new Protein A resin...also possesses improved aggregate separation capability,39864607
sodium chloride,formulation_factor,elution,formulation_factor,promotes,1,1,high,"elution was promoted rather than suppressed...enables elution at further increased pH (i.e., 5) when proper amount of so",39864607
resistance mutations,sequence_structure,macromolecular complex stability,quality_attribute,destabilizes,1,1,high,resistance mutations in the SARS-CoV-2 spike (S) protein presents a challenge for monoclonal antibody treatments like so,40394898
mutational residues,sequence_structure,macromolecular complex stability,quality_attribute,stabilizes,1,1,medium,assessing their impact on stabilizing the macromolecular complex.,40394898
machine learning,formulation_factor,identification of mutations,sequence_structure,promotes,1,1,medium,Machine learning algorithms then facilitate the identification of potential resistance mutations.,40394898
N-linked glycosylation,sequence_structure,anti-apoferritin responses,clinical_outcome,prevents,1,1,high,two N-linked glycans were engineered to mitigate possible anti-apoferritin immune responses,39903060
nanobody Nb M4,sequence_structure,binding to AFM1-BSA,quality_attribute,binds,1,1,high,...and tightly binds to AFM1-BSA with a K value of 2.5 nM.,39755714
dilution,formulation_factor,matrix effect,quality_attribute,decreases,1,1,medium,...the matrix effect in yogurt samples could be weakened by 2-fold dilution.,39755714
validation studies,stress_condition,recoveries,quality_attribute,promotes,1,1,medium,"...validation studies in spiked samples (milk, yogurt, and milk powder) resulted in good recoveries of 95.40-111.33%.",39755714
high-performance liquid chromatography,formulation_factor,consistent correlation,quality_attribute,increases,1,1,medium,...which indicated a satisfactory consistent correlation (R=0.9722).,39755714
IgG,sequence_structure,stability comparability,quality_attribute,stabilizes,1,1,high,This bsAb exhibited relatively high stability comparable to natural IgG antibodies.,29137228
bispecific antibody,sequence_structure,expression level,quality_attribute,decreases,1,1,high,BsAb significantly decreased not only the expression level of neutrophil or Th17 chemokines.,29137228
bispecific antibody,sequence_structure,IL-6/IL-8 secretion,quality_attribute,decreases,1,1,high,BsAb significantly decreased...the secretion of IL-6/IL-8 on fibroblast-like synoviocytes.,29137228
combined blockade,sequence_structure,therapeutic response,clinical_outcome,increases,1,1,medium,the combined blockade of TNF-alpha and IL-17A is more efficient than inhibition of either factor alone.,29137228
aggregation rates,degradation_pathway,long-term stability prediction,quality_attribute,destabilizes,1,1,medium,making long-term stability predictions problematic based on commonly employed 40C conditions.,23873602
mAb,sequence_structure,IL-1beta secretion,quality_attribute,inhibits,1,1,high,RM1mAb can avoid destruction by the lysosomal pathway to inhibit IL-1beta secretion.,41427325
mutations,sequence_structure,inflammasome activation,clinical_outcome,promotes,1,1,medium,PBMCs isolated from patients with Familial Cold Autoinflammatory Syndrome harboring NLRP3 L353P gain of function mutatio,41427325
mAb,sequence_structure,inflammasome activation,clinical_outcome,inhibits,1,1,high,RM1mAb and repurposed inhibitor TH5487 synergistically inhibit inflammasome activation.,41427325
aggregates,degradation_pathway,binding potency,quality_attribute,increases,1,1,high,the presence of aggregates in samples significantly increased binding potency values,32755599
BLI assay,formulation_factor,aggregate interference,degradation_pathway,prevents,1,1,medium,The method overcomes interference of aggregates present in the samples.,32755599
BLI assay,formulation_factor,sample characterization,clinical_outcome,induces,1,1,medium,"It can be used for sample characterization, drug product release and stability testing.",32755599
aggregates,degradation_pathway,loss of potency,quality_attribute,destabilizes,1,1,medium,sometimes masking the loss of potency.,32755599
temperature,stress_condition,fragmentation,degradation_pathway,induces,1,1,high,fragmentation occurred readily at only 40C.,23873602
Fab unfolding,sequence_structure,onset of aggregation,degradation_pathway,requires,1,1,high,"DSC and TSML showed that Fab, rather than CH 3, unfolding corresponded with the onset of aggregation.",23873602
mAb,sequence_structure,NLRP3-mitochondrial interaction,degradation_pathway,prevents,1,1,high,RM1mAb can prevent NLRP3 from interacting with mitochondrial DNA.,41427325
CH1 domain,sequence_structure,thermal stability,quality_attribute,promotes,1,1,high,suggesting that the CH1 domain contributes significantly to the thermal stability of the Fab fragment.,8514187
Ox IgG3,sequence_structure,stability reduction,quality_attribute,destabilizes,1,1,high,both of the Ox IgG3 Fab fragments showed reduced stability.,8514187
Ox IgG1,sequence_structure,temperature stability,quality_attribute,correlates,1,1,medium,The temperature stability of the Ox IgG1 Fab was similar to that of the intact antibody.,8514187
affinity chromatography,formulation_factor,yield,quality_attribute,increases,1,1,medium,The yields of active Ox IgG1 and Ox IgG3 Fab fragments after one-step purification from the culture medium by affinity c,8514187
trilysine,formulation_factor,stability,quality_attribute,promotes,1,1,high,indicating stable hydrogel formation.,39018916
low temperature,stress_condition,crosslinking,formulation_factor,promotes,1,1,high,crosslinked at a low temperature (38C) using a simple fabrication process.,39018916
trilysine,formulation_factor,gelation,degradation_pathway,induces,1,1,medium,trilysine participates in gelation via both ionic interactions.,39018916
trilysine concentration,formulation_factor,phase transition,quality_attribute,induces,1,1,medium,Frequency sweep showed a transition from purely liquid-like behavior to gel-like behavior with increased trilysine conce,39018916
glycan in S-protein,sequence_structure,conformational dynamics,quality_attribute,modifies,1,1,medium,capturing the conformational dynamics and stability of the mutants in presence of glycan in the S-protein.,40394898
higher trilysine concentration,formulation_factor,temperature behavior,quality_attribute,destabilizes,1,1,medium,A temperature dependent behavior was lost with higher trilysine concentrations.,39018916
increase in value,formulation_factor,extra expenditure,clinical_outcome,increases,1,1,high,the increase in reimbursement value...produced a substantial extra expenditure,41370511
low adoption,formulation_factor,extra expenditure,clinical_outcome,promotes,1,1,medium,the low adoption of the new immunobiologicals...produced a substantial extra expenditure,41370511
gold nanoparticles,sequence_structure,LSPR,degradation_pathway,induces,1,1,high,Localized surface plasmon resonance (LSPR) was stimulated by immobilizing gold nanoparticles (AuNPs) on the optical fibe,41414345
cubic silver oxide,sequence_structure,dielectric environment,sequence_structure,modifies,1,1,high,Cubic silver oxide (AgO) was used to modify the fiber-optic probe by altering the dielectric environment around the AuNP,41414345
cubic silver oxide,sequence_structure,LSPR phenomenon,degradation_pathway,modifies,1,1,high,which modulated the LSPR phenomenon.,41414345
increased probe surface area,sequence_structure,adhesion,sequence_structure,increases,1,1,medium,"expanded the probe surface area, and enlarged the adhesion zone for gentamicin monoclonal antibodies.",41414345
enhanced sensor selectivity,quality_attribute,reliable performance,quality_attribute,stabilizes,1,1,medium,"Tests on repeatability, stability, pH and selectivity confirmed its reliable performance.",41414345
ADC,formulation_factor,MMAE stability,quality_attribute,stabilizes,1,1,high,RC48-ADC was highly stable in human serum.,33378043
GG hydrogels,formulation_factor,sustained release,clinical_outcome,promotes,1,1,high,GG hydrogels can entrap and provide sustained release of IgG.,39018916
predicted S-protein sequences,sequence_structure,affinity,quality_attribute,modifies,1,1,medium,machine learning approaches predict novel S-protein sequences with enhanced/reduced affinity for sotrovimab.,40394898
clinical-sequencing data,quality_attribute,validation,quality_attribute,correlates,1,1,high,accuracy of the predictions is validated by correlating identified resistance mutations with clinical-sequencing data.,40394898
IgG Fc domain,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,fusion with the immunoglobulin G Fc domain improved both protein stability and absorption in the small intestine.,37546919
IgG Fc domain,sequence_structure,intestinal absorption,clinical_outcome,stabilizes,1,1,high,fusion with the immunoglobulin G Fc domain improved both protein stability and absorption in the small intestine.,37546919
